dx,dt,time,Eval,cell midpoint,height(m),G,u(m/s),diffuse
0.3125,0.003125,180.0,996.714627787,-700.0,1.00000000021,-1.49334786149e-10,1.12364073167e-11,0.025
0.3125,0.003125,180.0,996.714627787,-699.6875,1.00000000025,-8.10463101903e-11,-1.07550349003e-11,0.025
0.3125,0.003125,180.0,996.714627787,-699.375,1.00000000024,-1.02535704413e-11,-1.2356518047e-11,0.025
0.3125,0.003125,180.0,996.714627787,-699.0625,1.00000000023,-6.73384235186e-12,-1.31434466214e-11,0.025
0.3125,0.003125,180.0,996.714627787,-698.75,1.00000000024,-1.35854622867e-11,-1.55233950726e-11,0.025
0.3125,0.003125,180.0,996.714627787,-698.4375,1.00000000024,-1.95907657786e-11,-1.84864113668e-11,0.025
0.3125,0.003125,180.0,996.714627787,-698.125,1.00000000024,-2.15737325014e-11,-2.12063126278e-11,0.025
0.3125,0.003125,180.0,996.714627787,-697.8125,1.00000000024,-2.35031874149e-11,-2.38220315417e-11,0.025
0.3125,0.003125,180.0,996.714627787,-697.5,1.00000000024,-2.63351924387e-11,-2.65140231026e-11,0.025
0.3125,0.003125,180.0,996.714627787,-697.1875,1.00000000024,-2.92360447207e-11,-2.92570776684e-11,0.025
0.3125,0.003125,180.0,996.714627787,-696.875,1.00000000025,-3.19652462072e-11,-3.20100400785e-11,0.025
0.3125,0.003125,180.0,996.714627787,-696.5625,1.00000000025,-3.46908303403e-11,-3.47767053235e-11,0.025
0.3125,0.003125,180.0,996.714627787,-696.25,1.00000000025,-3.74761371247e-11,-3.75678239327e-11,0.025
0.3125,0.003125,180.0,996.714627787,-695.9375,1.00000000025,-4.02921597325e-11,-4.03856825369e-11,0.025
0.3125,0.003125,180.0,996.714627787,-695.625,1.00000000025,-4.31269025817e-11,-4.32311112412e-11,0.025
0.3125,0.003125,180.0,996.714627787,-695.3125,1.00000000025,-4.59958897513e-11,-4.61069902072e-11,0.025
0.3125,0.003125,180.0,996.714627787,-695.0,1.00000000026,-4.89051952096e-11,-4.90152441302e-11,0.025
0.3125,0.003125,180.0,996.714627787,-694.6875,1.00000000026,-5.18473470632e-11,-5.19557096076e-11,0.025
0.3125,0.003125,180.0,996.714627787,-694.375,1.00000000026,-5.48236042897e-11,-5.49278711107e-11,0.025
0.3125,0.003125,180.0,996.714627787,-694.0625,1.00000000026,-5.78296530481e-11,-5.79306033029e-11,0.025
